Year,Month,MonthId,CountryId,Country,Flow,TotalValue,TotalMass
2002,1,200201,666,Bangladesh,NON-EU,2891745.0,349199.0
2002,1,200201,17,Belgium,EU,3945678.0,138363.0
2002,1,200201,696,Cambodia,NON-EU,1000003.0,110134.0
2002,1,200201,720,China,NON-EU,9317336.0,877861.0
2002,1,200201,1,France,EU,4532659.0,131254.0
2002,1,200201,4,Germany,EU,4436690.0,113663.0
2002,1,200201,740,Hong_Kong,NON-EU,17775481.0,865660.0
2002,1,200201,664,India,NON-EU,2091923.0,164484.0
2002,1,200201,700,Indonesia,NON-EU,3611636.0,291632.0
2002,1,200201,5,Italy,EU,3072171.0,65293.0
2002,1,200201,732,Japan,NON-EU,117878.0,3106.0
2002,1,200201,204,Morocco,NON-EU,10767730.0,1023605.0
2002,1,200201,676,Myanmar,NON-EU,688356.0,93432.0
2002,1,200201,3,Netherlands,EU,2300794.0,87270.0
2002,1,200201,7,Other,EU,1234724.0,72048.0
2002,1,200201,8,Other,EU,227768.0,10979.0
2002,1,200201,9,Other,EU,341692.0,13284.0
2002,1,200201,10,Other,EU,1946076.0,75931.0
2002,1,200201,18,Other,EU,16902.0,77.0
2002,1,200201,28,Other,NON-EU,74415.0,611.0
2002,1,200201,30,Other,EU,87223.0,2138.0
2002,1,200201,32,Other,EU,382551.0,4959.0
2002,1,200201,38,Other,EU,102953.0,1515.0
2002,1,200201,39,Other,NON-EU,230810.0,5101.0
2002,1,200201,46,Other,NON-EU,542903.0,15909.0
2002,1,200201,54,Other,NON-EU,216573.0,17276.0
2002,1,200201,55,Other,NON-EU,3358333.0,198297.0
2002,1,200201,60,Other,NON-EU,681577.0,42818.0
2002,1,200201,61,Other,NON-EU,1335218.0,49926.0
2002,1,200201,63,Other,NON-EU,433794.0,26364.0
2002,1,200201,64,Other,NON-EU,589027.0,45102.0
2002,1,200201,68,Other,NON-EU,1216531.0,134273.0
2002,1,200201,72,Other,NON-EU,1414603.0,154927.0
2002,1,200201,73,Other,NON-EU,93169.0,16172.0
2002,1,200201,74,Other,NON-EU,24982.0,2085.0
2002,1,200201,75,Other,NON-EU,558490.0,48955.0
2002,1,200201,91,Other,NON-EU,26472.0,2663.0
2002,1,200201,92,Other,NON-EU,390101.0,13318.0
2002,1,200201,94,Other,NON-EU,3181.0,200.0
2002,1,200201,96,Other,NON-EU,857362.0,47941.0
2002,1,200201,212,Other,NON-EU,504881.0,51849.0
2002,1,200201,220,Other,NON-EU,1190411.0,67082.0
2002,1,200201,288,Other,NON-EU,1062.0,50.0
2002,1,200201,373,Other,NON-EU,10179.0,314.0
2002,1,200201,388,Other,NON-EU,792601.0,64848.0
