Year,Month,MonthId,Flow,Value,NetMass
2002,1,200201,EU,22934176.0,718436.0
2002,1,200201,NON-EU,99585953.0,8407649.0
2002,2,200202,EU,21497513.0,694723.0
2002,2,200202,NON-EU,88779774.0,7750091.0
2002,3,200203,EU,22003251.0,762784.0
2002,3,200203,NON-EU,90672718.0,8107015.0
2002,4,200204,EU,20378892.0,707189.0
2002,4,200204,NON-EU,94358890.0,8352176.0
2002,5,200205,EU,17178659.0,619499.0
2002,5,200205,NON-EU,96719062.0,8378591.0
2002,6,200206,EU,17873308.0,692590.0
2002,6,200206,NON-EU,86722325.0,7499148.0
2002,7,200207,EU,23766352.0,1041340.0
2002,7,200207,NON-EU,96553352.0,8898677.0
2002,8,200208,EU,21911872.0,900957.0
2002,8,200208,NON-EU,88329868.0,8414605.0
2002,9,200209,EU,20489414.0,976926.0
2002,9,200209,NON-EU,89442649.0,8426139.0
2002,10,200210,EU,21666182.0,826222.0
2002,10,200210,NON-EU,97359834.0,9357127.0
2002,11,200211,EU,17181984.0,679939.0
2002,11,200211,NON-EU,88167663.0,8018091.0
2002,12,200212,EU,10938853.0,1010828.0
2002,12,200212,NON-EU,77960085.0,6956678.0
2003,1,200301,EU,20779072.0,715585.0
2003,1,200301,NON-EU,92302000.0,7965253.0
2003,2,200302,EU,20890421.0,1162590.0
2003,2,200302,NON-EU,85459756.0,7999361.0
2003,3,200303,EU,21383161.0,1643535.0
2003,3,200303,NON-EU,103271513.0,9481814.0
2003,4,200304,EU,19068738.0,818888.0
2003,4,200304,NON-EU,97362213.0,9103997.0
2003,5,200305,EU,19474040.0,854207.0
2003,5,200305,NON-EU,94087618.0,8573920.0
2003,6,200306,EU,17061998.0,642065.0
2003,6,200306,NON-EU,87973347.0,8485392.0
2003,7,200307,EU,23049274.0,836725.0
2003,7,200307,NON-EU,99654859.0,9797793.0
2003,8,200308,EU,22522880.0,838654.0
2003,8,200308,NON-EU,90612985.0,9021636.0
2003,9,200309,EU,20781274.0,739982.0
2003,9,200309,NON-EU,100575509.0,9685047.0
2003,10,200310,EU,20366501.0,1118502.0
2003,10,200310,NON-EU,106348832.0,10774019.0
2003,11,200311,EU,21216493.0,1144945.0
2003,11,200311,NON-EU,93181873.0,10546966.0
2003,12,200312,EU,15893565.0,658587.0
2003,12,200312,NON-EU,89924543.0,8586072.0
2004,1,200401,EU,21914481.0,691424.0
2004,1,200401,NON-EU,93668994.0,9173948.0
2004,2,200402,EU,20481362.0,703219.0
